## Tables for ANOVA
## Cross1: Ler_x_Col
##         Col0 input in column 1, output in column 2
##         Input 1 Ler_x_Col_BR1_CGATGT_L007_PAIR_001.Columns_Col_Ler
##         Input 2 LerxColBR2_S1_L008_PAIR_001.Columns_Col_Ler
##         Input 3 LerxColBR3_S2_L008_PAIR_001.Columns_Col_Ler
## Cross2: Ler_x_drm1
##         Col0 input in column 1, output in column 2
##         Input 1 Ler_x_drm1_BR1_AGTTCC_L007_PAIR_001.Columns_Col_Ler
##         Input 2 Ler_x_drm1_BR2_CTTGTA_L006_PAIR_001.Columns_Col_Ler
##         Input 3 Ler_x_drm1_BR3_ATGTCA_L007_PAIR_001.Columns_Col_Ler
## Output matrix has 1011 rows.
## Columns are: cross1/replicate1/mat, cross1/replicate1/pat, cross1,replicate2/mat, ...
AT1G01530.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G02580.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G02790.1,59.74,122.02,9.46,144.84,32.70,392.19,35.03,107.66,66.60,79.01,53.18,150.79
AT1G02940.1,291.10,332.46,388.89,378.32,430.46,526.25,400.36,622.52,378.05,586.83,444.62,669.70
AT1G03445.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G04020.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G04445.1,277.31,269.07,224.40,229.41,211.87,267.74,182.16,155.05,176.75,147.81,176.23,150.11
AT1G04540.1,360.74,78.76,300.80,79.56,286.50,144.83,263.80,63.70,230.86,60.35,200.65,64.84
AT1G04635.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G05160.1,801.51,585.53,885.63,675.98,909.11,714.94,613.51,348.31,607.95,433.75,663.32,372.04
AT1G05280.1,510.89,2.38,456.12,3.15,379.78,0.58,636.58,1.09,580.94,9.50,651.24,1.87
AT1G05570.1,815.14,19.17,907.98,14.84,921.42,20.39,751.23,27.81,831.77,49.62,801.09,32.85
AT1G05820.1,91.75,14.10,89.85,7.79,83.28,19.81,85.37,10.72,81.47,8.97,87.56,9.36
AT1G06470.1,304.89,16.96,284.58,10.94,282.36,24.24,269.00,21.44,323.33,23.23,257.84,15.32
AT1G06660.1,47.22,36.13,37.37,26.89,47.99,41.35,72.01,67.43,73.82,73.73,91.14,110.79
AT1G07135.1,154.34,20.60,159.77,25.41,134.16,14.04,113.96,8.70,124.93,26.04,290.77,10.72
AT1G07230.1,2706.73,38.98,2512.05,51.19,2384.57,69.05,3156.87,82.03,3230.57,139.36,3433.34,87.31
AT1G07690.1,30.03,23.77,23.27,22.44,36.74,10.77,29.91,31.07,28.07,30.79,36.25,33.36
AT1G07705.1,436.33,133.27,479.86,106.82,470.86,109.44,399.89,128.01,415.27,114.02,403.69,112.67
AT1G07795.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G08030.1,750.81,180.97,790.12,181.19,804.67,180.80,812.29,197.62,768.42,242.65,800.49,218.01
AT1G08050.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G08065.1,35.18,43.58,50.81,67.13,57.80,60.97,65.25,87.62,48.83,79.71,65.61,75.05
AT1G08270.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G08810.1,536.09,4.60,609.68,2.60,683.59,4.42,671.69,0.93,632.67,17.60,737.52,3.74
AT1G08830.1,2815.68,53.88,2822.04,54.89,3152.99,49.43,2418.38,56.86,2597.02,64.58,2494.06,70.97
AT1G09360.1,23.93,22.34,17.25,60.83,28.66,60.59,83.66,91.97,78.83,74.61,88.41,66.88
AT1G09380.1,135.33,98.88,148.36,89.39,149.35,123.87,188.53,133.76,199.19,116.31,216.74,123.90
AT1G09550.1,429.76,322.79,462.80,364.23,427.10,390.84,178.74,162.19,206.23,183.00,223.97,193.68
AT1G09880.1,859.67,954.12,819.61,925.78,983.35,932.67,629.59,485.65,666.98,542.67,636.51,527.42
AT1G10010.1,495.99,480.62,405.59,397.43,432.58,372.38,337.67,352.20,345.50,342.42,338.08,317.24
AT1G10190.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G10370.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G10417.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G11420.1,74.00,8.72,87.44,18.17,76.17,13.66,84.98,17.56,85.96,20.76,98.97,12.25
AT1G11580.1,2448.20,23.61,2389.47,10.76,2114.43,15.77,1875.79,5.59,1906.19,101.71,1857.29,16.34
AT1G11590.1,483.87,72.89,710.29,106.82,621.17,139.64,695.23,84.05,712.82,208.69,692.42,135.98
AT1G11593.1,715.78,221.53,845.76,272.99,953.16,349.30,926.17,188.76,892.21,267.46,1021.74,204.40
AT1G11810.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G11905.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G12180.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G13608.1,0.00,4.44,0.00,4.64,0.00,6.73,0.00,3.42,0.00,1.76,0.00,1.70
AT1G13609.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G13900.1,1594.15,38.03,1709.41,63.05,1697.81,30.77,1618.60,40.86,1552.60,93.79,1405.44,54.97
AT1G14210.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G14230.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G14580.1,138.66,13.94,162.46,10.20,121.27,23.08,295.65,22.37,334.68,28.15,279.62,26.72
AT1G15757.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G15760.1,99.99,4.44,72.51,9.64,75.01,9.62,67.27,6.06,53.32,6.69,52.08,12.59
AT1G15770.1,9.43,0.79,1.76,0.00,2.12,0.00,10.64,0.16,6.07,0.00,9.79,1.19
AT1G16290.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G16400.1,123.84,0.16,141.22,0.00,142.43,0.00,36.82,0.00,18.21,0.00,30.29,0.00
AT1G16410.1,41.68,11.88,30.79,0.00,77.80,0.00,3.42,0.00,2.46,0.00,1.53,0.00
AT1G17250.1,201.88,4.44,222.91,6.12,225.04,0.77,184.88,14.60,184.67,11.79,186.78,4.60
AT1G17310.1,0.95,0.00,0.00,2.04,0.00,0.00,0.08,0.00,0.00,0.00,1.19,0.00
AT1G17430.1,1599.23,23.45,1796.58,16.51,1820.43,22.70,1899.64,39.62,1855.25,67.92,1858.82,43.74
AT1G17770.1,162.74,1059.02,158.28,997.74,148.30,1064.81,187.52,758.30,189.69,719.68,191.89,704.42
AT1G17820.1,1925.74,246.41,1963.67,328.07,2005.47,231.20,1857.07,281.04,1883.76,273.09,2020.93,268.05
AT1G17840.1,32544.21,333.41,32647.61,346.98,30951.58,416.23,30052.12,342.10,28762.67,1006.50,26855.26,413.56
AT1G17860.1,471.59,5.39,463.45,5.56,615.69,3.85,383.73,5.59,369.34,12.67,408.20,4.94
AT1G17950.1,69.33,2.06,71.68,0.56,55.59,0.38,191.25,0.16,180.89,1.06,145.00,0.17
AT1G18250.1,116.08,125.35,111.09,132.23,66.65,127.91,89.49,155.51,92.82,147.46,90.37,232.31
AT1G18350.1,98.33,90.64,101.91,87.16,124.83,100.79,196.68,188.29,157.22,203.59,180.06,154.19
AT1G18590.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G19140.1,579.03,38.35,489.97,43.21,521.35,35.97,401.06,35.27,444.39,34.14,410.50,32.34
AT1G19160.1,106.96,11.57,81.04,5.38,91.75,13.08,75.19,3.26,82.44,3.70,62.12,8.85
AT1G19640.1,2057.19,6.66,1676.12,8.35,1782.16,5.00,5095.82,10.10,4204.16,13.20,4082.11,8.68
AT1G20140.1,562.15,224.07,554.69,186.38,518.27,195.61,594.24,316.31,612.52,337.67,586.39,291.71
AT1G20470.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G20500.1,636.71,24.56,607.54,31.53,508.94,38.08,812.52,37.60,819.45,34.14,960.64,33.02
AT1G20680.1,3491.69,10.78,3864.66,7.97,3693.95,13.08,3598.40,9.32,3587.33,47.86,3623.87,16.68
AT1G20690.1,299.50,45.80,311.38,56.56,311.31,61.17,325.16,37.29,315.06,46.10,364.97,56.50
AT1G20730.1,1547.88,9.98,1583.49,5.38,1301.97,7.50,1733.41,2.02,1729.09,57.89,1901.97,1.53
AT1G20880.1,600.42,26.62,615.24,21.88,585.49,28.66,660.43,24.55,668.30,29.56,703.57,26.72
AT1G20910.1,114.25,112.51,122.68,117.58,105.40,94.06,109.53,79.70,78.65,70.91,100.24,69.78
AT1G20940.1,28.37,170.67,30.23,184.90,41.64,176.76,53.68,242.36,46.54,254.26,45.95,232.14
AT1G21440.1,1872.10,17.59,1682.15,13.91,1872.65,15.58,927.80,16.00,867.14,57.01,879.21,26.72
AT1G21670.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G21790.1,149.27,15.05,122.40,18.92,133.97,8.85,168.49,12.43,164.88,33.43,148.32,18.04
AT1G22015.1,257.58,315.03,311.75,335.11,344.01,388.15,386.92,409.83,365.82,411.93,415.52,471.60
AT1G22040.1,387.13,19.97,384.17,17.80,415.75,9.42,400.12,33.25,410.25,29.39,391.01,36.76
AT1G22180.1,135.72,10.14,156.62,10.94,191.00,18.66,172.21,14.60,188.45,20.76,215.12,19.40
AT1G22420.1,122.26,411.53,108.58,328.99,99.25,394.69,194.59,638.99,176.23,593.17,185.17,626.30
AT1G22460.1,59.82,36.29,51.37,47.11,37.51,41.93,45.91,43.34,38.62,39.59,49.44,30.46
AT1G22590.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G23320.1,4.99,32.64,7.51,20.40,11.83,16.93,4.43,10.88,4.75,16.19,4.94,9.70
AT1G23360.1,118.53,12.04,108.86,4.64,123.29,10.00,96.01,18.18,102.06,16.89,87.31,11.74
AT1G23980.1,94.52,6.66,101.63,12.24,118.29,8.66,107.04,9.32,103.38,20.94,83.82,5.45
AT1G24030.1,289.67,6.34,304.33,3.52,315.73,2.12,389.17,10.41,396.53,26.92,371.27,5.45
AT1G26797.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G26799.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G27000.1,803.42,47.54,822.95,74.00,800.24,47.70,872.80,69.44,795.43,69.86,852.49,69.78
AT1G27080.1,2764.02,30.11,2629.07,22.81,2650.49,24.81,2449.61,12.27,2637.93,58.42,2693.70,20.25
AT1G27130.1,1351.86,11.88,1341.75,7.42,1326.88,9.62,1067.08,5.44,1118.76,57.01,1121.47,13.96
AT1G27560.1,2886.99,2747.46,2980.79,2862.47,3094.42,3162.89,2795.04,2589.66,2683.15,2483.70,2912.99,2526.82
AT1G27600.1,877.58,44.37,894.81,53.97,943.54,49.62,841.81,74.42,827.99,85.87,835.72,72.84
AT1G27730.1,43.34,3.80,28.84,0.19,26.25,5.19,44.28,0.78,40.03,2.82,70.88,0.00
AT1G28050.1,279.21,21.71,247.39,14.28,284.57,10.00,1120.83,20.04,1050.23,22.87,904.22,25.70
AT1G28450.1,106.57,163.38,96.90,130.19,99.15,134.64,27.96,59.50,48.74,59.83,42.97,69.27
AT1G28460.1,46.35,30.43,31.06,25.96,35.20,27.70,38.53,2.02,56.04,15.31,43.48,10.72
AT1G29080.1,262.50,149.43,277.44,166.17,270.72,182.34,297.35,153.49,290.60,147.81,352.72,151.98
AT1G29730.1,28.92,11.41,19.47,9.83,13.66,10.19,17.87,13.05,20.85,16.54,20.51,16.17
AT1G29960.1,161.16,6.02,151.24,5.19,196.67,5.00,159.55,13.83,154.32,12.49,164.40,4.60
AT1G30090.1,425.08,16.64,469.20,19.84,497.21,18.66,492.80,17.40,501.23,24.46,489.64,27.06
AT1G30530.1,20595.02,94.29,18383.40,77.15,17821.17,72.51,12955.68,37.75,12081.96,370.75,10747.04,78.63
AT1G31140.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G31290.1,6360.77,42.63,6052.54,37.65,5081.90,27.12,6424.98,41.95,6421.45,110.33,6618.12,49.19
AT1G31630.1,3.57,3.80,2.13,9.09,5.39,1.73,9.55,8.86,8.62,5.98,16.59,3.06
AT1G31640.1,0.08,2.85,1.95,0.56,0.00,19.62,1.32,14.29,0.00,12.32,1.36,16.51
AT1G32120.1,1217.01,237.06,1230.85,283.37,1257.92,279.09,994.37,145.41,1063.34,178.78,1084.71,151.30
AT1G32375.1,3.80,4.12,5.38,2.60,0.77,1.15,4.74,4.51,2.38,1.58,1.53,3.74
AT1G32583.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G32900.1,1038.26,3.64,989.30,6.86,867.85,3.65,676.12,8.08,566.86,30.27,448.28,6.64
AT1G34060.1,200.14,32.01,191.76,22.81,191.19,47.51,226.36,47.69,215.29,28.15,185.76,37.44
AT1G34170.1,130.34,156.72,146.69,156.89,167.05,165.61,166.70,183.63,162.94,215.02,169.68,174.79
AT1G34180.1,337.61,66.24,294.68,59.34,305.25,66.74,258.83,64.63,250.22,63.17,268.31,80.16
AT1G34390.1,182.55,94.13,201.40,110.53,242.74,105.98,444.01,254.48,435.68,239.48,519.25,307.36
AT1G34410.1,156.01,4.44,186.84,4.82,226.20,12.31,313.05,15.38,322.10,14.43,328.55,25.70
AT1G34650.1,19.02,311.07,26.52,364.60,17.31,329.87,17.24,154.12,21.03,142.18,17.19,147.90
AT1G34720.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G35183.1,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00
AT1G35240.1,43.66,15.37,41.63,40.80,51.64,39.62,142.70,50.65,141.21,55.60,141.43,90.54
AT1G35520.1,138.82,12.52,123.14,9.83,181.19,9.04,534.82,20.97,482.66,26.92,539.16,27.23
AT1G35580.1,2152.74,84.62,2211.34,95.88,2318.60,79.63,1592.42,73.64,1690.02,99.95,1485.26,66.03
AT1G35630.1,0.48,0.00,0.00,0.00,1.44,0.00,0.39,0.47,1.50,1.58,2.47,0.00
AT1G35660.1,1017.03,151.33,1154.07,134.45,1052.50,157.53,982.33,192.64,1034.13,152.91,992.98,173.59
AT1G36070.1,543.85,22.34,537.91,18.55,570.68,28.08,512.06,14.76,571.96,25.16,589.12,22.29
AT1G42470.1,1051.33,25.20,1215.64,29.86,1148.10,30.97,1209.62,18.02,1103.63,38.89,1213.03,28.08
AT1G43020.1,44.77,0.16,57.30,0.00,65.88,0.19,36.43,0.00,44.25,0.00,43.31,0.00
AT1G43640.1,131.21,5.86,134.73,3.71,143.10,5.77,171.59,3.42,162.41,22.52,180.66,15.49
AT1G43770.1,247.52,19.49,266.03,8.72,291.02,21.35,294.01,26.10,264.91,33.26,280.39,20.25
AT1G43800.1,3363.33,22.19,5497.75,50.81,3645.48,25.39,1873.07,35.73,3572.72,30.44,3001.14,53.10
AT1G44090.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G44130.1,672.05,766.34,679.13,860.32,613.77,812.07,531.17,722.10,518.73,679.21,601.71,792.24
AT1G44750.1,682.11,23.61,750.16,28.00,668.78,12.89,553.62,29.83,617.27,52.61,524.44,22.98
AT1G44760.1,947.06,16.32,850.86,13.72,1018.46,5.19,684.58,30.14,724.17,58.42,690.63,23.66
AT1G45191.1,820.37,0.79,996.81,1.30,987.49,0.38,709.60,3.73,743.44,2.64,721.95,4.08
AT1G45248.1,35.97,14.58,47.29,27.08,55.78,26.35,41.79,17.71,37.92,16.01,47.31,14.64
AT1G46408.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G47490.1,82.88,115.05,74.37,152.63,61.93,144.07,69.44,180.06,51.20,153.97,54.97,183.13
AT1G47760.1,75.51,26.78,79.65,27.45,78.57,20.20,82.88,25.94,91.68,38.54,95.90,36.08
AT1G48150.1,5.15,3.80,2.87,6.49,3.46,4.42,8.08,5.13,3.52,11.26,5.62,9.87
AT1G48390.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G48410.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G48910.1,14.34,216.46,14.19,232.74,18.95,193.69,8.93,106.11,4.84,98.89,6.98,108.75
AT1G49290.1,6.66,485.69,2.69,431.18,1.25,581.84,4.04,275.45,11.88,243.88,6.64,278.60
AT1G49490.1,131.37,171.30,69.27,206.04,102.13,218.50,79.15,94.92,99.86,85.17,92.16,133.09
AT1G49600.1,440.21,142.62,453.25,136.12,505.48,131.95,299.53,172.29,312.24,136.02,298.68,177.00
AT1G49640.1,675.30,37.56,610.42,33.75,615.02,15.58,632.31,36.98,566.33,33.96,585.88,22.98
AT1G49860.1,1576.80,1.43,1652.94,3.15,1586.83,1.54,1033.75,1.24,962.51,5.98,1055.18,1.87
AT1G51000.1,217.41,0.16,215.87,0.00,273.32,0.00,207.25,0.00,211.51,0.88,242.18,0.00
AT1G51010.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G51300.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G51355.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G51840.1,0.32,0.32,1.39,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G52460.1,22.98,0.00,28.75,0.00,17.70,0.00,14.29,0.00,18.39,0.00,21.70,0.00
AT1G53520.1,222.33,112.83,191.85,100.52,265.63,126.56,217.66,118.69,205.70,122.12,206.87,114.88
AT1G54170.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G54280.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
