"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Col_x_Ler,rdr6_x_Ler,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,rdr6_x_Ler,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,rdr6_x_Ler,AT1G02790.1,"1",1,1,1,8,236.652008333335,93628.0334083333,5987.566875,8866.80400000001,236.652008333335,93628.0334083333,5987.566875,1108.3505,0.213517301912468,84.4751127087805,5.40223230377033,NA,0.656330921933427,1.58755660175225e-05,0.0485944056323442,NA
Col_x_Ler,rdr6_x_Ler,AT1G02940.1,"1",1,1,1,8,505727.8092,3346527.45363333,49021.5267000003,71009.1157333328,505727.8092,3346527.45363333,49021.5267000003,8876.1394666666,56.9760999248837,377.025109418443,5.52284322301327,NA,6.61910970932269e-05,5.13929520340882e-08,0.0466759362056794,NA
Col_x_Ler,rdr6_x_Ler,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,rdr6_x_Ler,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,rdr6_x_Ler,AT1G04445.1,"1",1,1,1,8,4911.43940833334,765.921408333331,21.041008333333,1933.41126666667,4911.43940833334,765.921408333331,21.041008333333,241.676408333334,20.3223783496451,3.16920221388315,0.0870627318505661,NA,0.00198094739107095,0.112911643383406,0.775457565987713,NA
Col_x_Ler,rdr6_x_Ler,AT1G04540.1,"1",1,1,1,8,27191.976075,236172.603408334,11805.7860083333,2335.61700000001,27191.976075,236172.603408334,11805.7860083333,291.952125000001,93.1384762998382,808.942916268662,40.4374039350913,NA,1.10605827887638e-05,2.52440742050803e-09,0.000218484404280759,NA
Col_x_Ler,rdr6_x_Ler,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,rdr6_x_Ler,AT1G05160.1,"1",1,1,1,8,82424.160075,1761700.71140833,26663.3268749999,4188.52513333332,82424.160075,1761700.71140833,26663.3268749999,523.565641666665,157.428512330602,3364.81344688761,50.9264259398737,NA,1.52529962330596e-06,8.66285805645778e-12,9.84107276040918e-05,NA
Col_x_Ler,rdr6_x_Ler,AT1G05280.1,"1",1,1,1,8,1410.28400833334,84116.8330083334,1316.079075,699.340000000006,1410.28400833334,84116.8330083334,1316.079075,87.4175000000008,16.1327423952106,962.242491587298,15.055098521463,NA,0.00385961583937568,1.26804384489229e-09,0.00467419171029118,NA
Col_x_Ler,rdr6_x_Ler,AT1G05570.1,"1",1,1,1,8,13218.9132,3166200.24013333,14518.5633333333,12761.7693999999,13218.9132,3166200.24013333,14518.5633333333,1595.22117499999,8.2865707947991,1984.80329232926,9.10128548997812,NA,0.0205543929277741,7.11309923811827e-11,0.0166394908934271,NA
Col_x_Ler,rdr6_x_Ler,AT1G05820.1,"1",1,1,1,8,63.6641333333332,9883.13203333334,128.184033333333,191.894666666668,63.6641333333332,9883.13203333334,128.184033333333,23.9868333333335,2.65412830650147,412.023208565808,5.34393312998099,NA,0.14192998880073,3.62627457142432e-08,0.0495577925023354,NA
Col_x_Ler,rdr6_x_Ler,AT1G06470.1,"1",1,1,1,8,2632.62563333333,358041.653333333,2039.97763333335,5736.44906666664,2632.62563333333,358041.653333333,2039.97763333335,717.056133333331,3.67143590432066,499.321652363434,2.844934362182,NA,0.091665281067958,1.70154066053259e-08,0.130145933197259,NA
Col_x_Ler,rdr6_x_Ler,AT1G06660.1,"1",1,1,1,8,37.8785333333335,624.674700000001,109.8075,206.433533333333,37.8785333333335,624.674700000001,109.8075,25.8041916666666,1.46792171685286,24.2082646133397,4.25541328395289,NA,0.260243384364851,0.00116373534005345,0.0730342020771775,NA
