"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Ler_x_Col,Col_x_Ler,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Col_x_Ler,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Col_x_Ler,AT1G02790.1,"1",1,1,1,8,2003.892075,75701.5560083333,2165.184675,52891.6036666667,2003.892075,75701.5560083333,2165.184675,6611.45045833333,0.303094167857556,11.4500678006164,0.327490115617658,NA,0.596982416677594,0.00958762156673283,0.582860489139372,NA
Ler_x_Col,Col_x_Ler,AT1G02940.1,"1",1,1,1,8,997010.630533333,977803.266133334,1127674.83,97637.189333333,997010.630533333,977803.266133334,1127674.83,12204.6486666666,81.6910554136943,80.1172809508162,92.3971562639004,NA,1.79612438364328e-05,1.92924920203085e-05,1.13937533850722e-05,NA
Ler_x_Col,Col_x_Ler,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Col_x_Ler,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Col_x_Ler,AT1G04445.1,"1",1,1,1,8,13352.0065333333,981.382533333334,0.874800000000065,4670.0832,13352.0065333333,981.382533333334,0.874800000000065,583.7604,22.8724088398825,1.68113927106623,0.00149856002565447,NA,0.00138620755119062,0.230920004799874,0.970069213265864,NA
Ler_x_Col,Col_x_Ler,AT1G04540.1,"1",1,1,1,8,405.887008333327,140493.372075,6.23520833333289,6891.36633333335,405.887008333327,140493.372075,6.23520833333289,861.420791666669,0.471183203679145,163.094939702088,0.00723828399970364,NA,0.511844295017474,1.33216492519609e-06,0.934289928124687,NA
Ler_x_Col,Col_x_Ler,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Col_x_Ler,AT1G05160.1,"1",1,1,1,8,779.079674999983,579001.794008334,162473.468008333,16145.2071999999,779.079674999983,579001.794008334,162473.468008333,2018.15089999998,0.38603638360243,286.897176027986,80.5061048746823,NA,0.551678924138316,1.49728135974376e-07,1.89524203985361e-05,NA
Ler_x_Col,Col_x_Ler,AT1G05280.1,"1",1,1,1,8,50313.3400333334,302691.861633333,50116.6875,9211.48080000001,50313.3400333334,302691.861633333,50116.6875,1151.4351,43.6962014040855,262.882260262287,43.5254123310988,NA,0.000167576931678188,2.10519208922673e-07,0.000169850009385793,NA
Ler_x_Col,Col_x_Ler,AT1G05570.1,"1",1,1,1,8,4718.74679999994,2487413.1747,6680.68829999996,15365.0252666665,4718.74679999994,2487413.1747,6680.68829999996,1920.62815833332,2.45687681893344,1295.10398142789,3.4783871469412,NA,0.155647010553796,3.89377645514851e-10,0.0991593958033866,NA
Ler_x_Col,Col_x_Ler,AT1G05820.1,"1",1,1,1,8,293.040833333334,11766.2981333333,415.363333333335,261.938000000001,293.040833333334,11766.2981333333,415.363333333335,32.7422500000001,8.94992962711279,359.36131858175,12.6858518682538,NA,0.0172905622766241,6.20387200045667e-08,0.0073821864482176,NA
Ler_x_Col,Col_x_Ler,AT1G06470.1,"1",1,1,1,8,6339.72269999998,311799.488533333,7249.13363333331,2190.23333333334,6339.72269999998,311799.488533333,7249.13363333331,273.779166666668,23.1563371939061,1138.87222439009,26.478032355761,NA,0.00133474367705161,6.4919214703459e-10,0.000878973906701591,NA
Ler_x_Col,Col_x_Ler,AT1G06660.1,"1",1,1,1,8,56.7240083333331,237.185208333334,0.78540833333336,312.429866666667,56.7240083333331,237.185208333334,0.78540833333336,39.0537333333334,1.45246058422071,6.07330434478309,0.0201109667705697,NA,0.262570237581722,0.0390494653077699,0.890733860647426,NA
