"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Ler_x_Col,Ler_x_nrpE1,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G02790.1,"1",1,1,1,8,2340.53400833334,67318.6220083333,3870.38000833333,52320.6240666667,2340.53400833334,67318.6220083333,3870.38000833333,6540.07800833333,0.35787554909147,10.2932445029794,0.591794165666176,NA,0.566235532848599,0.0124558970234342,0.463831163503297,NA
Ler_x_Col,Ler_x_nrpE1,AT1G02940.1,"1",1,1,1,8,728.520833333326,11498.5443,1166.24083333334,31586.9811999999,728.520833333326,11498.5443,1166.24083333334,3948.37264999999,0.184511670481085,2.91222367270728,0.295372533626821,NA,0.678859151615299,0.126299160071818,0.601609664191245,NA
Ler_x_Col,Ler_x_nrpE1,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G04445.1,"1",1,1,1,8,11725.0008333333,401.594700000002,2543.34083333333,5030.80893333335,11725.0008333333,401.594700000002,2543.34083333333,628.851116666669,18.645114117764,0.638616501356827,4.04442445266654,NA,0.00255295091072768,0.447286753825427,0.0791461484283358,NA
Ler_x_Col,Ler_x_nrpE1,AT1G04540.1,"1",1,1,1,8,0.00700833333333576,177314.709675,2377.54900833333,6867.43233333336,0.00700833333333576,177314.709675,2377.54900833333,858.42904166667,8.16413820265078e-06,206.557212149693,2.76965118015722,NA,0.997790176552813,5.3657169607981e-07,0.134634965268107,NA
Ler_x_Col,Ler_x_nrpE1,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G05160.1,"1",1,1,1,8,119326.946408333,144099.891675,473.637674999991,21626.4232666666,119326.946408333,144099.891675,473.637674999991,2703.30290833332,44.1411674734973,53.3051221270067,0.1752070304589,NA,0.000161830939217172,8.38037267107852e-05,0.686536239629826,NA
Ler_x_Col,Ler_x_nrpE1,AT1G05280.1,"1",1,1,1,8,1528.2147,542759.360533333,1392.77653333334,10614.0242,1528.2147,542759.360533333,1392.77653333334,1326.75302500001,1.1518456496453,409.0884665843,1.04976322426951,NA,0.314466523539684,3.7296216728986e-08,0.335541776498302,NA
Ler_x_Col,Ler_x_nrpE1,AT1G05570.1,"1",1,1,1,8,15560.6412,1870499.2332,16321.6128000001,6866.90926666661,15560.6412,1870499.2332,16321.6128000001,858.363658333327,18.1282618956793,2179.14541819248,19.0147994285913,NA,0.00276991511219783,4.90166683976844e-11,0.00241071542500424,NA
Ler_x_Col,Ler_x_nrpE1,AT1G05820.1,"1",1,1,1,8,63.618075,19792.501875,140.015008333333,123.484133333334,63.618075,19792.501875,140.015008333333,15.4355166666667,4.12153842167035,1282.27012431286,9.07096350300326,NA,0.0768384886579025,4.05112272111473e-10,0.0167674149798172,NA
Ler_x_Col,Ler_x_nrpE1,AT1G06470.1,"1",1,1,1,8,5786.46000833333,299912.539008333,5534.53700833332,1285.31286666667,5786.46000833333,299912.539008333,5534.53700833332,160.664108333334,36.0158847446376,1866.70527798341,34.4478742996579,NA,0.000322916605039087,9.08298662341307e-11,0.000374533051841085,NA
Ler_x_Col,Ler_x_nrpE1,AT1G06660.1,"1",1,1,1,8,134.201408333334,115.506075,30.6880083333334,375.464133333334,134.201408333334,115.506075,30.6880083333334,46.9330166666667,2.85942430009294,2.46108354424266,0.653868225673399,NA,0.129304670761264,0.15533645250314,0.442114399489838,NA
Ler_x_Col,Ler_x_nrpE1,AT1G07135.1,"1",1,1,1,8,2188.35020833333,34958.5280083334,1381.38020833334,497.961066666669,2188.35020833333,34958.5280083334,1381.38020833334,62.2451333333336,35.1569687643584,561.626686878865,22.1925817225871,NA,0.000350001450872017,1.0698210475985e-08,0.00151990730689183,NA
Ler_x_Col,Ler_x_nrpE1,AT1G07230.1,"1",1,1,1,8,121494.625208333,21531364.110675,117182.732408333,179783.032333334,121494.625208333,21531364.110675,117182.732408333,22472.8790416668,5.40627771737974,958.104391998634,5.21440676074771,NA,0.0485284455744479,1.2899277487387e-09,0.0517870204263398,NA
Ler_x_Col,Ler_x_nrpE1,AT1G07690.1,"1",1,1,1,8,9.86453333333337,266.397633333333,7.64803333333339,203.589266666667,9.86453333333337,266.397633333333,7.64803333333339,25.4486583333333,0.387624887887018,10.4680423558675,0.300527958415622,NA,0.550880348874032,0.0119591489767157,0.598511481754378,NA
Ler_x_Col,Ler_x_nrpE1,AT1G07705.1,"1",1,1,1,8,548.506408333335,341985.427008333,202.130208333336,4355.50026666666,548.506408333335,341985.427008333,202.130208333336,544.437533333332,1.00747353874574,628.144472175751,0.371264279109834,NA,0.344898804866599,6.87371289499138e-09,0.559218476619948,NA
Ler_x_Col,Ler_x_nrpE1,AT1G07795.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08030.1,"1",1,1,1,8,5569.38253333332,1141055.34413333,753.350533333315,4241.84179999994,5569.38253333332,1141055.34413333,753.350533333315,530.230224999993,10.5037062595468,2151.99981127698,1.42079892434145,NA,0.0118608776214088,5.15285099446717e-11,0.26742849809202,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08050.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08065.1,"1",1,1,1,8,35.8802083333335,369.075208333333,9.66607500000011,1025.0748,35.8802083333335,369.075208333333,9.66607500000011,128.13435,0.280020215760516,2.88037679461701,0.0754370315219933,NA,0.611052028964203,0.128100830698883,0.790538507791549,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08270.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08810.1,"1",1,1,1,8,3242.95440833333,991512.783075001,2886.41100833337,11518.2797999999,3242.95440833333,991512.783075001,2886.41100833337,1439.78497499999,2.25238800560018,688.653375532696,2.00475144445329,NA,0.171801630951896,4.77700532440845e-09,0.194540338512192,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08830.1,"1",1,1,1,8,105331.919408333,27675179.0224083,76584.1518749994,174982.921199999,105331.919408333,27675179.0224083,76584.1518749994,21872.8651499999,4.81564343244414,1265.27452314168,3.50133150594584,NA,0.0595059823671542,4.27193092271713e-10,0.0982279936825217,NA
Ler_x_Col,Ler_x_nrpE1,AT1G09360.1,"1",1,1,1,8,10400.5632,1845.61603333333,0.0800333333333453,1171.41653333334,10400.5632,1845.61603333333,0.0800333333333453,146.427066666667,71.0289664114921,12.6043365844019,0.000546574722524059,NA,2.99545595249895e-05,0.00750660631467856,0.981920628255772,NA
Ler_x_Col,Ler_x_nrpE1,AT1G09380.1,"1",1,1,1,8,227.331075000001,4097.01607500001,33.5670750000006,921.279866666665,227.331075000001,4097.01607500001,33.5670750000006,115.159983333333,1.97404574418864,35.5767338307188,0.291482110611635,NA,0.197639330144009,0.000336423668974542,0.603971362188608,NA
Ler_x_Col,Ler_x_nrpE1,AT1G09550.1,"1",1,1,1,8,61934.7008333334,11017.08,1200.00000000001,7069.05566666665,61934.7008333334,11017.08,1200.00000000001,883.631958333332,70.091060253357,12.4679510469268,1.35803146172236,NA,3.14364983053212e-05,0.00772072598082104,0.277446830332761,NA
Ler_x_Col,Ler_x_nrpE1,AT1G09880.1,"1",1,1,1,8,79871.7150083335,1350.65300833335,15207.6080083333,15959.9076666666,79871.7150083335,1350.65300833335,15207.6080083333,1994.98845833333,40.0361789937675,0.67702296857483,7.62290525782699,NA,0.000226021265164171,0.434452616405608,0.0246381799081114,NA
Ler_x_Col,Ler_x_nrpE1,AT1G10010.1,"1",1,1,1,8,25636.3852083334,2840.68640833335,24.5674083333326,11846.6794666667,25636.3852083334,2840.68640833335,24.5674083333326,1480.83493333334,17.3121153690143,1.91830051033372,0.0165902409379496,NA,0.00316181678738341,0.203440041194434,0.900692743391257,NA
Ler_x_Col,Ler_x_nrpE1,AT1G10190.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G10370.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G10417.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11420.1,"1",1,1,1,8,271.225208333333,14191.3774083333,28.6752083333331,251.193066666666,271.225208333333,14191.3774083333,28.6752083333331,31.3991333333332,8.63798390401436,451.967169210617,0.913248401760555,NA,0.0187370059150389,2.51973369889213e-08,0.367235922166031,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11580.1,"1",1,1,1,8,219700.140833333,19869942.0492,223466.896133333,79782.2412000007,219700.140833333,19869942.0492,223466.896133333,9972.78015000008,22.0299793566924,1992.41753556553,22.4076829903175,NA,0.00155424992825434,7.00537391309219e-11,0.00147592314631615,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11590.1,"1",1,1,1,8,26956.3802083334,535810.314675,17348.5260750001,29562.3103333332,26956.3802083334,535810.314675,17348.5260750001,3695.28879166665,7.29479662567197,144.998224735052,4.69476867792395,NA,0.0270368268607837,2.08816172571648e-06,0.0621332474901606,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11593.1,"1",1,1,1,8,22787.982075,1695421.77520833,113839.172008333,39545.2257999998,22787.982075,1695421.77520833,113839.172008333,4943.15322499998,4.61000924667878,342.983860308789,23.0296668597267,NA,0.0640647095263257,7.44848380629241e-08,0.00135740266176318,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11810.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11905.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G12180.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G13608.1,"1",1,1,1,8,7.88940833333332,142.485208333333,7.88940833333334,13.7432666666667,7.88940833333332,142.485208333333,7.88940833333334,1.71790833333333,4.59245012102896,82.9411008542365,4.59245012102897,NA,0.064474429626629,1.69848507299523e-05,0.0644744296266288,NA
Ler_x_Col,Ler_x_nrpE1,AT1G13609.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G13900.1,"1",1,1,1,8,6327.7761333333,8472072.70083334,9853.3082999999,8840.66233333305,6327.7761333333,8472072.70083334,9853.3082999999,1105.08279166663,5.72606521524968,7666.45971208743,8.91635303192046,NA,0.0436564450035957,3.23004034827855e-13,0.0174393257215085,NA
Ler_x_Col,Ler_x_nrpE1,AT1G14210.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G14230.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G14580.1,"1",1,1,1,8,7936.67767499999,94375.0296750001,8208.48520833332,1412.39673333333,7936.67767499999,94375.0296750001,8208.48520833332,176.549591666667,44.9543813728257,534.552523084756,46.4939348250168,NA,0.000151952004339898,1.30025506553057e-08,0.000135229611579334,NA
Ler_x_Col,Ler_x_nrpE1,AT1G15757.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G15760.1,"1",1,1,1,8,1386.53500833333,28278.4334083333,1516.725675,780.228400000004,1386.53500833333,28278.4334083333,1516.725675,97.5285500000005,14.2167089363405,289.95031104567,15.5516069397114,NA,0.00546170092970406,1.43668340200096e-07,0.00427452093113339,NA
Ler_x_Col,Ler_x_nrpE1,AT1G15770.1,"1",1,1,1,8,9.66607500000001,116.501008333333,12.7102083333333,58.4123333333334,9.66607500000001,116.501008333333,12.7102083333333,7.30154166666668,1.32384028487135,15.9556726033885,1.74075680364306,NA,0.283132134780308,0.00398046644022496,0.223551030419831,NA
Ler_x_Col,Ler_x_nrpE1,AT1G16290.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G16400.1,"1",1,1,1,8,148.755208333334,49684.6352083334,150.591675000001,6560.7208,148.755208333334,49684.6352083334,150.591675000001,820.0901,0.1813888599964,60.5843616553027,0.183628207437209,NA,0.681409309497976,5.31692107457615e-05,0.679577960328322,NA
Ler_x_Col,Ler_x_nrpE1,AT1G16410.1,"1",1,1,1,8,455.840133333333,4255.58003333333,215.053333333334,1678.13666666667,455.840133333333,4255.58003333333,215.053333333334,209.767083333333,2.17307752050389,20.2871678707138,1.02520056967947,NA,0.178673460801721,0.00199119879237007,0.340929009077876,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17250.1,"1",1,1,1,8,176.563408333334,121599.293408333,397.095075000003,672.437133333328,176.563408333334,121599.293408333,397.095075000003,84.054641666666,2.1005789190504,1446.66958299052,4.72424921606062,NA,0.185283769487729,2.50679140941465e-10,0.0614789876529896,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17310.1,"1",1,1,1,8,0.27,0.000833333333333321,0.4332,3.79813333333334,0.27,0.000833333333333321,0.4332,0.474766666666667,0.568700414238573,0.00175524819209434,0.912448220178333,NA,0.472386759892126,0.967608621319009,0.367435077965906,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17430.1,"1",1,1,1,8,493.955008333349,8734566.76400833,399.630208333364,41291.8274666659,493.955008333349,8734566.76400833,399.630208333364,5161.47843333324,0.0957002949277764,1692.26063361997,0.0774255309782019,NA,0.764955660486588,1.34268777043683e-10,0.787873552690989,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17770.1,"1",1,1,1,8,6534.26670000006,1883503.1088,25239.5096333333,15712.9461333333,6534.26670000006,1883503.1088,25239.5096333333,1964.11826666667,3.32681937279136,958.956057160713,12.8503003417242,NA,0.105610223723878,1.28538545793256e-09,0.0071389657298609,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17820.1,"1",1,1,1,8,717.344033333325,8887347.35363334,1841.64963333327,19570.5818666664,717.344033333325,8887347.35363334,1841.64963333327,2446.3227333333,0.293233604691188,3632.94148909111,0.752823659870863,NA,0.602905554740095,6.37889243923911e-12,0.410853423740122,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17840.1,"1",1,1,1,8,606330.563333321,3098341024.83,620092.588799981,5322006.56333337,606330.563333321,3098341024.83,620092.588799981,665250.820416671,0.911431515339664,4657.4027866503,0.932118487898436,NA,0.367688366028798,2.36569931899627e-12,0.362587484096085,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17860.1,"1",1,1,1,8,13427.4990083333,599762.296875,12617.2160083334,14769.2282,13427.4990083333,599762.296875,12617.2160083334,1846.153525,7.27322989475286,324.871300654696,6.83432652673532,NA,0.027204633830442,9.21151113309689e-08,0.030925227806713,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17950.1,"1",1,1,1,8,3366.08003333333,28915.9736333333,3395.62163333333,2491.9166,3366.08003333333,28915.9736333333,3395.62163333333,311.489575,10.8063970787251,92.8312725500792,10.9012368498475,NA,0.0110663996997265,1.11971511189175e-05,0.010831330124257,NA
