## Tables for ANOVA
## Cross1: Col_x_Col
##         Col0 input in column 1, output in column 2
##         Input 1 Col0_x_Col0_BR1_CAGATC_L007_PAIR_001.Columns_Col_Tsu
##         Input 2 ColxColBR2_S5_L008_PAIR_001.Columns_Col_Tsu
##         Input 3 Col0_x_Col0_BR3_CTTGTA_L007_PAIR_001.Columns_Col_Tsu
## Cross2: Tsu_x_Tsu
##         Col0 input in column 1, output in column 1
##         Input 1 Tsu_x_Tsu_BR1_CCGTCC_L007_PAIR_001.Columns_Col_Tsu
##         Input 2 Tsu_x_Tsu_BR3_GTGAAA_L007_PAIR_001.Columns_Col_Tsu
##         Input 3 Tsu_x_Tsu_BR2_GTCCGC_L007_PAIR_001.Columns_Col_Tsu
## Output matrix has 1011 rows.
## Columns are: cross1/replicate1/mat, cross1/replicate1/pat, cross1,replicate2/mat, ...
AT1G01530.1,0.00,2384.00,0.50,2688.00,3.50,2031.00,1.00,1648.00,1.00,1439.00,0.00,1364.00
AT1G02580.1,3.00,1170.00,0.00,992.00,0.00,793.00,0.00,123.00,0.00,119.00,0.00,111.00
AT1G02790.1,12.00,1594.00,9.00,1402.00,3.50,1002.00,16.00,715.00,27.50,855.00,74.00,814.00
AT1G02940.1,2.00,17546.00,8.00,19367.00,16.00,17199.00,7.50,6800.00,14.00,7265.00,6.00,7228.00
AT1G03445.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G04020.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G04445.1,3.50,3463.00,4.50,3225.00,15.00,2843.00,3.50,2370.00,2.00,2537.00,1.00,2380.00
AT1G04540.1,1.00,1860.00,1.50,2059.00,1.50,1514.00,0.00,1306.00,1.00,1142.00,0.50,1171.00
AT1G04635.1,0.00,461.00,0.00,745.00,0.00,431.00,4.00,649.00,0.00,819.00,0.00,712.00
AT1G05160.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G05280.1,2.00,2539.00,1.50,1772.00,0.50,2057.00,3.50,11960.00,4.00,11568.00,4.00,12129.00
AT1G05570.1,6.50,18532.00,6.00,23055.00,48.00,18317.00,8.00,11617.00,6.50,10056.00,4.50,11039.00
AT1G05820.1,0.00,1141.00,0.50,1330.00,0.00,867.00,0.00,1384.00,0.50,1223.00,0.50,1267.00
AT1G06470.1,3.00,6160.00,3.00,6564.00,19.50,5562.00,0.00,4297.00,2.50,5164.00,0.50,5236.00
AT1G06660.1,0.00,364.00,0.00,396.00,0.50,344.00,0.50,296.00,0.50,310.00,0.00,275.00
AT1G07135.1,1.50,1708.00,0.00,4591.00,12.00,1714.00,2.00,25742.00,1.00,15102.00,7.50,75235.00
AT1G07230.1,10.50,9328.00,10.00,12048.00,48.00,10205.00,2.50,9900.00,3.00,7977.00,0.50,8581.00
AT1G07690.1,3.00,229.00,17.00,278.00,4.00,285.00,0.00,198.00,0.00,379.00,0.00,306.00
AT1G07705.1,8.00,11833.00,14.50,13866.00,32.00,11881.00,6.00,7158.00,4.00,6806.00,5.00,7567.00
AT1G07795.1,0.00,1799.00,0.50,1306.00,1.50,1601.00,0.50,1324.00,0.50,1240.00,1.00,1179.00
AT1G08030.1,0.00,784.00,0.00,1204.00,3.00,915.00,0.00,486.00,0.00,487.00,2.00,544.00
AT1G08050.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G08065.1,0.50,891.00,1.00,924.00,0.00,867.00,2.00,56.00,1.50,99.00,1.00,109.00
AT1G08270.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G08810.1,9.50,13574.00,6.00,15731.00,28.50,13502.00,6.50,8543.00,5.00,9119.00,4.50,8258.00
AT1G08830.1,2.50,19925.00,0.50,24414.00,5.00,18227.00,19.00,27350.00,10.50,18967.00,10.50,26612.00
AT1G09360.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G09380.1,0.00,630.00,0.00,634.00,0.00,573.00,3.50,2026.00,3.50,1817.00,1.00,1903.00
AT1G09550.1,2.00,10166.00,2.50,11193.00,13.50,9110.00,2.50,3103.00,2.00,3013.00,2.00,2932.00
AT1G09880.1,8.00,16775.00,1.00,19002.00,10.50,14272.00,3.00,7979.00,14.00,8156.00,3.00,8762.00
AT1G10010.1,1.50,2473.00,2.50,2155.00,5.00,1921.00,0.00,799.00,0.00,785.00,4.50,1086.00
AT1G10190.1,3.00,14554.00,2.50,15921.00,2.00,13126.00,43.00,88734.00,45.00,93388.00,33.00,92601.00
AT1G10370.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G10417.1,0.00,373.00,0.50,549.00,0.00,256.00,0.00,200.00,0.00,213.00,0.00,264.00
AT1G11420.1,0.00,494.00,0.00,754.00,0.00,613.00,0.00,549.00,0.00,600.00,0.00,641.00
AT1G11580.1,34.50,80311.00,32.00,105239.00,112.50,72751.00,13.50,6855.00,32.00,9428.00,18.00,8202.00
AT1G11590.1,4064.00,124240.00,1784.50,89362.00,3387.00,115012.00,456.00,5174.00,399.00,4054.00,416.50,4384.00
AT1G11593.1,1592.00,10478.00,2016.50,13507.00,1440.50,8683.00,4.00,4653.00,4.00,4093.00,9.00,5345.00
AT1G11810.1,18.50,2106.00,31.00,2328.00,29.00,1937.00,0.00,60.00,1.00,74.00,0.00,94.00
AT1G11905.1,3.00,11749.00,5.50,12239.00,14.00,10380.00,7.00,9588.00,3.00,10205.00,4.50,10135.00
AT1G12180.1,0.00,38912.00,0.00,39218.00,0.00,35633.00,162.50,8143.00,153.50,8123.00,139.50,8147.00
AT1G13608.1,0.00,7.00,0.00,61.00,0.00,10.00,3.50,0.00,5.00,0.00,10.00,0.00
AT1G13609.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G13900.1,15.00,11438.00,6.00,11935.00,33.50,9448.00,1.00,8510.00,2.00,7950.00,1.50,7747.00
AT1G14210.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G14230.1,2.00,10016.00,4.50,10668.00,1.00,9184.00,3.00,5351.00,4.00,5975.00,1.50,5474.00
AT1G14580.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G15757.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G15760.1,1.00,975.00,0.50,805.00,4.00,584.00,0.00,637.00,1.00,430.00,0.00,569.00
AT1G15770.1,42.00,3.00,20.00,0.00,46.00,0.00,1.00,52.00,0.00,46.00,0.00,49.00
AT1G16290.1,0.00,454.00,0.00,397.00,0.50,302.00,0.00,181.00,0.00,216.00,0.00,234.00
AT1G16400.1,0.00,163.00,0.00,130.00,7.00,59.00,0.50,214.00,2.00,173.00,0.00,96.00
AT1G16410.1,2.00,13.00,0.00,0.00,0.00,11.00,0.00,133.00,0.00,148.00,0.00,45.00
AT1G17250.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G17310.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G17430.1,6.50,15405.00,4.00,17539.00,9.50,14238.00,8.50,13321.00,12.50,14098.00,10.00,14450.00
AT1G17770.1,0.00,133.00,0.00,132.00,0.00,82.00,54.50,0.00,30.50,0.00,48.50,0.00
AT1G17820.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G17840.1,1.50,8607.00,16.00,9832.00,6.50,6219.00,2501.00,0.00,2306.00,10.00,2119.50,19.00
AT1G17860.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
