"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Col_x_Ler,drm1_x_Ler,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,drm1_x_Ler,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,drm1_x_Ler,AT1G02790.1,"1",1,1,1,8,159390.75,4888356.75,219510.75,657161.666666667,159390.75,4888356.75,219510.75,82145.2083333334,1.94035359132837,59.5087266705047,2.67222829491475,NA,0.201117779069686,5.66865229330789e-05,0.140753008956815,NA
Col_x_Ler,drm1_x_Ler,AT1G02940.1,"1",1,1,1,8,744261.020833335,254919181.020833,25346.0208333321,9567774.16666663,744261.020833335,254919181.020833,25346.0208333321,1195971.77083333,0.622306511728742,213.148158876034,0.0211928253253599,NA,0.452933054300962,4.75190385844811e-07,0.887856045701404,NA
Col_x_Ler,drm1_x_Ler,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,drm1_x_Ler,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,drm1_x_Ler,AT1G04445.1,"1",1,1,1,8,1680.33333333329,31008.3333333332,5042.99999999994,265845.000000001,1680.33333333329,31008.3333333332,5042.99999999994,33230.6250000001,0.0505658058893953,0.933125191997836,0.151757603114595,NA,0.827719057787595,0.362342057387618,0.707026730715378,NA
Col_x_Ler,drm1_x_Ler,AT1G04540.1,"1",1,1,1,8,65860.0833333336,5304040.33333334,356730.083333334,343127,65860.0833333336,5304040.33333334,356730.083333334,42890.875,1.53552669031195,123.663607546671,8.31715564985173,NA,0.250404928374653,3.821140402384e-06,0.0203876177643335,NA
Col_x_Ler,drm1_x_Ler,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,drm1_x_Ler,AT1G05160.1,"1",1,1,1,8,6165.3333333333,78991745.3333333,5808.00000000015,1926271,6165.3333333333,78991745.3333333,5808.00000000015,240783.875,0.0256052583809165,328.060777879471,0.0241212165889437,NA,0.876834635539959,8.86593479333267e-08,0.880424063235543,NA
Col_x_Ler,drm1_x_Ler,AT1G05280.1,"1",1,1,1,8,61848.5208333334,5058956.02083333,65047.6875000002,49853.0000000002,61848.5208333334,5058956.02083333,65047.6875000002,6231.62500000003,9.92494266476771,811.819713290403,10.4383186568511,NA,0.013590526859031,2.48912579598579e-09,0.0120418360754286,NA
Col_x_Ler,drm1_x_Ler,AT1G05570.1,"1",1,1,1,8,908050.083333332,139673633.333333,939120.750000004,1814152,908050.083333332,139673633.333333,939120.750000004,226769,4.00429548718446,615.929131994821,4.14131009970501,NA,0.0803824310203376,7.4287646828072e-09,0.076260830752226,NA
Col_x_Ler,drm1_x_Ler,AT1G05820.1,"1",1,1,1,8,1788.52083333333,431871.020833333,305.020833333337,20784.6666666667,1788.52083333333,431871.020833333,305.020833333337,2598.08333333334,0.688400102639763,166.22677775283,0.117402251659879,NA,0.430769211959905,1.23849720537232e-06,0.740698055459753,NA
