"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Col_x_Ler,mea9_x_Ler,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,mea9_x_Ler,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,mea9_x_Ler,AT1G02790.1,"1",1,1,1,8,174725.333333334,5652641.33333333,403333.333333334,1174147,174725.333333334,5652641.33333333,403333.333333334,146768.375,1.1904835311649,38.5140281980592,2.74809429029472,NA,0.307000210394304,0.000257747400259588,0.135957940513614,NA
Col_x_Ler,mea9_x_Ler,AT1G02940.1,"1",1,1,1,8,24437375.0208333,195960213.020833,3270330.02083335,10717531.1666666,24437375.0208333,195960213.020833,3270330.02083335,1339691.39583333,18.2410479733152,146.272651769134,2.44110698255183,NA,0.00272065661770001,2.01964668699306e-06,0.156818609937992,NA
Col_x_Ler,mea9_x_Ler,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,mea9_x_Ler,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,mea9_x_Ler,AT1G04445.1,"1",1,1,1,8,93810.0833333335,30502.0833333335,177876.75,285172,93810.0833333335,30502.0833333335,177876.75,35646.5,2.63167725676668,0.85568241856377,4.99002005807021,NA,0.143408103294942,0.382005678385799,0.0559611292002262,NA
Col_x_Ler,mea9_x_Ler,AT1G04540.1,"1",1,1,1,8,581.020833333325,7273525.52083334,41360.0208333337,740111.666666667,581.020833333325,7273525.52083334,41360.0208333337,92513.9583333334,0.00628035859453632,78.6208443770873,0.447067897411881,NA,0.938781280801429,2.06746690428479e-05,0.522551934311488,NA
Col_x_Ler,mea9_x_Ler,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,mea9_x_Ler,AT1G05160.1,"1",1,1,1,8,3570297.52083333,102676275.1875,1366537.52083333,3006629,3570297.52083333,102676275.1875,1366537.52083333,375828.625,9.49980199308482,273.199720184965,3.63606556268387,NA,0.015067159006758,1.81201358994587e-07,0.0929818992261893,NA
Col_x_Ler,mea9_x_Ler,AT1G05280.1,"1",1,1,1,8,723243,11316034.0833333,739040.333333333,1724942,723243,11316034.0833333,739040.333333333,215617.75,3.35428321647916,52.4819226772069,3.42754867506656,NA,0.104401626276493,8.85310377330577e-05,0.101264434683193,NA
Col_x_Ler,mea9_x_Ler,AT1G05570.1,"1",1,1,1,8,132300,154994844.083333,114075.000000002,3293638.66666666,132300,154994844.083333,114075.000000002,411704.833333332,0.321346725344088,376.470790562333,0.277079574403835,NA,0.586348252884071,5.16906116613224e-08,0.612899068670835,NA
Col_x_Ler,mea9_x_Ler,AT1G05820.1,"1",1,1,1,8,4446.74999999999,407008.333333333,1344.08333333334,29903.3333333334,4446.74999999999,407008.333333333,1344.08333333334,3737.91666666667,1.18963326273548,108.886411771263,0.359580871697693,NA,0.307161690017682,6.17180272696015e-06,0.565331735040633,NA
Col_x_Ler,mea9_x_Ler,AT1G06470.1,"1",1,1,1,8,13702.5208333333,25811866.6875,15516.020833333,325094.833333332,13702.5208333333,25811866.6875,15516.020833333,40636.8541666665,0.337194428907669,635.183682812557,0.381821406984315,NA,0.577440317701102,6.57733830623414e-09,0.553809199987984,NA
Col_x_Ler,mea9_x_Ler,AT1G06660.1,"1",1,1,1,8,17063.0208333334,78004.6875000001,27792.1874999999,73638.8333333333,17063.0208333334,78004.6875000001,27792.1874999999,9204.85416666666,1.85369811670926,8.4742991130133,3.01929688366419,NA,0.210458092617162,0.019557159949372,0.120480733528918,NA
Col_x_Ler,mea9_x_Ler,AT1G07135.1,"1",1,1,1,8,1466152.52083333,4699382.52083333,1137444.1875,4807953.33333334,1466152.52083333,4699382.52083333,1137444.1875,600994.166666667,2.43954534361814,7.81934797620054,1.89260437219995,NA,0.156935269791806,0.023330198048656,0.20619249931099,NA
Col_x_Ler,mea9_x_Ler,AT1G07230.1,"1",1,1,1,8,1670294.08333333,1586678016.33333,2229994.08333331,32014083.6666666,1670294.08333333,1586678016.33333,2229994.08333331,4001760.45833332,0.417389821485963,396.495000851241,0.557253265544551,NA,0.536330543678221,4.21725978619578e-08,0.476731134199367,NA
Col_x_Ler,mea9_x_Ler,AT1G07690.1,"1",1,1,1,8,1668.52083333334,450.1875,3088.02083333334,7099,1668.52083333334,450.1875,3088.02083333334,887.375,1.88028830351693,0.507324975348641,3.47995022773161,NA,0.207529860956302,0.496543459118051,0.0990955805141192,NA
Col_x_Ler,mea9_x_Ler,AT1G07705.1,"1",1,1,1,8,102767.520833333,16470118.5208333,71071.0208333328,1196367.16666666,102767.520833333,16470118.5208333,71071.0208333328,149545.895833333,0.687197199633392,110.134206151596,0.475245545438041,NA,0.431156188085496,5.91333055362803e-06,0.510081060533718,NA
Col_x_Ler,mea9_x_Ler,AT1G07795.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,mea9_x_Ler,AT1G08030.1,"1",1,1,1,8,251575.520833334,215786323.520833,74340.0208333316,3554458.66666666,251575.520833334,215786323.520833,74340.0208333316,444307.333333333,0.566219600621794,485.669056825907,0.167316664065861,NA,0.473322317500632,1.89805634804762e-08,0.693239354347902,NA
Col_x_Ler,mea9_x_Ler,AT1G08050.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,mea9_x_Ler,AT1G08065.1,"1",1,1,1,8,94963.0208333334,204.187499999998,11439.1875,28807.3333333333,94963.0208333334,204.187499999998,11439.1875,3600.91666666666,26.3719018305525,0.0567043114021887,3.17674319039134,NA,0.000890198889439174,0.817768718576075,0.112547549380476,NA
Col_x_Ler,mea9_x_Ler,AT1G08270.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
