"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Col_x_Ler,rdr6_x_Ler,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,rdr6_x_Ler,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,rdr6_x_Ler,AT1G02790.1,"1",1,1,1,8,243247.6875,4294238.52083333,108775.520833333,641820.5,243247.6875,4294238.52083333,108775.520833333,80227.5625,3.03197155591011,53.5257259103856,1.35583728887854,NA,0.119815473163416,8.25908509897941e-05,0.277806719183327,NA
Col_x_Ler,rdr6_x_Ler,AT1G02940.1,"1",1,1,1,8,47608800.3333333,167036870.083333,8310016.33333335,8887749.16666663,47608800.3333333,167036870.083333,8310016.33333335,1110968.64583333,42.8534149112933,150.35246107962,7.47997377288724,NA,0.000179177039360022,1.81839924243368e-06,0.0256485494051924,NA
Col_x_Ler,rdr6_x_Ler,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,rdr6_x_Ler,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,rdr6_x_Ler,AT1G04445.1,"1",1,1,1,8,792845.020833334,36355.0208333333,3185.02083333334,143890.666666667,792845.020833334,36355.0208333333,3185.02083333334,17986.3333333334,44.0804140643822,2.02125803851072,0.177080051520599,NA,0.000162600782854249,0.192901725428291,0.684971576723071,NA
Col_x_Ler,rdr6_x_Ler,AT1G04540.1,"1",1,1,1,8,224954.083333334,10890885.3333333,159852.083333333,210823.5,224954.083333334,10890885.3333333,159852.083333333,26352.9375000001,8.53620524593637,413.270260035843,6.06581650843792,NA,0.0192417483968911,3.58344446742609e-08,0.039142104243781,NA
Col_x_Ler,rdr6_x_Ler,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Col_x_Ler,rdr6_x_Ler,AT1G05160.1,"1",1,1,1,8,28518.7500000003,83450502.0833334,29304.0833333325,2314994.33333333,28518.7500000003,83450502.0833334,29304.0833333325,289374.291666666,0.0985531570055689,288.382570554889,0.101267058537073,NA,0.761602820633332,1.46740858692931e-07,0.758462909936859,NA
Col_x_Ler,rdr6_x_Ler,AT1G05280.1,"1",1,1,1,8,222360.1875,4181331.02083333,211072.6875,45552.3333333336,222360.1875,4181331.02083333,211072.6875,5694.0416666667,39.051380463496,734.334461461904,37.0690451275821,NA,0.000245946673557225,3.70424997792014e-09,0.000293185801514551,NA
Col_x_Ler,rdr6_x_Ler,AT1G05570.1,"1",1,1,1,8,292188.020833333,151546115.020833,227563.020833336,2065407.66666666,292188.020833333,151546115.020833,227563.020833336,258175.958333332,1.131739851842,586.987711788297,0.881426071979669,NA,0.318458371955089,8.98535500862007e-09,0.375287760300366,NA
Col_x_Ler,rdr6_x_Ler,AT1G05820.1,"1",1,1,1,8,2596.02083333333,466693.520833333,72.5208333333297,11352.6666666667,2596.02083333333,466693.520833333,72.5208333333297,1419.08333333334,1.82936461330671,328.869707557695,0.0511039990604236,NA,0.213187816997871,8.78087657305629e-08,0.826821933452965,NA
Col_x_Ler,rdr6_x_Ler,AT1G06470.1,"1",1,1,1,8,686886.75,17654002.0833333,568980.750000001,422194.333333332,686886.75,17654002.0833333,568980.750000001,52774.2916666665,13.0155560275166,334.518977437722,10.7814000345813,NA,0.00690460253529668,8.2144354650319e-08,0.0111294232215598,NA
Col_x_Ler,rdr6_x_Ler,AT1G06660.1,"1",1,1,1,8,22102.0833333334,27744.0833333334,2914.08333333332,21579.5,22102.0833333334,27744.0833333334,2914.08333333332,2697.4375,8.19373324992086,10.2853479768608,1.0803154228164,NA,0.0210712854454578,0.0124789451111498,0.329018013512988,NA
