"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Ler_x_Col,Col_x_Ler,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Col_x_Ler,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Col_x_Ler,AT1G02790.1,"1",1,1,1,8,701800.333333333,3010008.33333333,56.3333333333374,1627559.16666667,701800.333333333,3010008.33333333,56.3333333333374,203444.895833333,3.44958437250873,14.7952020177454,0.000276897255655344,NA,0.100344944464097,0.00490211672269612,0.987131146797593,NA
Ler_x_Col,Col_x_Ler,AT1G02940.1,"1",1,1,1,8,83933786.0208333,59302971.0208334,65709540.0208333,8365520.66666666,83933786.0208333,59302971.0208334,65709540.0208333,1045690.08333333,80.2664071875662,56.7118039713966,62.8384461784048,NA,1.91611690645303e-05,6.72942177931824e-05,4.66412001834041e-05,NA
Ler_x_Col,Col_x_Ler,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Col_x_Ler,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Col_x_Ler,AT1G04445.1,"1",1,1,1,8,595.02083333337,40078.5208333332,2200.52083333338,454624.666666668,595.02083333337,40078.5208333332,2200.52083333338,56828.0833333335,0.0104705420002147,0.705259063520526,0.0387224186398458,NA,0.92101656189044,0.425405880303203,0.848906839242819,NA
Ler_x_Col,Col_x_Ler,AT1G04540.1,"1",1,1,1,8,794902.687499999,6354713.02083333,143992.520833333,504790.000000002,794902.687499999,6354713.02083333,143992.520833333,63098.7500000002,12.5977564927989,100.710600777881,2.28201859519138,NA,0.00751676423809817,8.26670304639132e-06,0.169325649042168,NA
Ler_x_Col,Col_x_Ler,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Col_x_Ler,AT1G05160.1,"1",1,1,1,8,8859726.74999999,30175236.75,12046044.0833333,1096316.66666667,8859726.74999999,30175236.75,12046044.0833333,137039.583333334,64.6508587847183,220.193582146277,87.9019316195135,NA,4.2105800275578e-05,4.18974089702993e-07,1.37069348882432e-05,NA
Ler_x_Col,Col_x_Ler,AT1G05280.1,"1",1,1,1,8,892983.520833335,11921130.0208333,899542.520833335,815461.000000002,892983.520833335,11921130.0208333,899542.520833335,101932.625,8.76052707200794,116.951074504687,8.8248734969136,NA,0.0181512397105695,4.71731507480764e-06,0.0178529017803869,NA
Ler_x_Col,Col_x_Ler,AT1G05570.1,"1",1,1,1,8,4693752.08333333,112069632,4845052.08333333,1871263,4693752.08333333,112069632,4845052.08333333,233907.875,20.0666697661775,479.11867866783,20.7135056198229,NA,0.00205692986347894,2.00240528777681e-08,0.00187139853020851,NA
Ler_x_Col,Col_x_Ler,AT1G05820.1,"1",1,1,1,8,2241.33333333331,492480.083333334,736.333333333345,17847.6666666668,2241.33333333331,492480.083333334,736.333333333345,2230.95833333334,1.00465046784826,220.748221055973,0.330052481183351,NA,0.345537480652886,4.14910808293857e-07,0.581418841911518,NA
Ler_x_Col,Col_x_Ler,AT1G06470.1,"1",1,1,1,8,1345025.52083333,14560728.5208333,1299879.1875,369345.000000002,1345025.52083333,14560728.5208333,1299879.1875,46168.1250000002,29.1332065322845,315.384879087753,28.15533850465,NA,0.000647932927897862,1.03438573805137e-07,0.000722995051577266,NA
Ler_x_Col,Col_x_Ler,AT1G06660.1,"1",1,1,1,8,39905.3333333333,10561.3333333333,96.3333333333326,23295,39905.3333333333,10561.3333333333,96.3333333333326,2911.875,13.7043428489661,3.62698719324605,0.0330829219431921,NA,0.00602578912271426,0.0933237815021428,0.860195536496908,NA
