"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Ler_x_Col,Ler_x_drm1,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_drm1,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_drm1,AT1G02790.1,"1",1,1,1,8,128857.6875,1403226.02083333,294690.020833334,1226473.33333333,128857.6875,1403226.02083333,294690.020833334,153309.166666667,0.840508694305081,9.15291662816422,1.92219439476874,NA,0.386054529891374,0.0164244842867443,0.203027344121568,NA
Ler_x_Col,Ler_x_drm1,AT1G02940.1,"1",1,1,1,8,2584480.08333333,1794906.75,873180.750000001,786680.833333333,2584480.08333333,1794906.75,873180.750000001,98335.1041666666,26.2823749996028,18.2529602750798,8.87964432843902,NA,0.000899807578005524,0.00271551832062386,0.0176038178962329,NA
Ler_x_Col,Ler_x_drm1,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_drm1,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_drm1,AT1G04445.1,"1",1,1,1,8,502661.333333333,4294.08333333337,47880.3333333332,380748.166666668,502661.333333333,4294.08333333337,47880.3333333332,47593.5208333335,10.5615496507096,0.0902241157650577,1.00602629296967,NA,0.0117036412461621,0.771549968224759,0.345225997180759,NA
Ler_x_Col,Ler_x_drm1,AT1G04540.1,"1",1,1,1,8,253461.333333334,3812641.33333333,35643.0000000002,561083.833333336,253461.333333334,3812641.33333333,35643.0000000002,70135.479166667,3.61388182336388,54.3610933957282,0.508202131410548,NA,0.0938201993365497,7.81922950633395e-05,0.49618258575358,NA
Ler_x_Col,Ler_x_drm1,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_drm1,AT1G05160.1,"1",1,1,1,8,4591125.52083334,5215986.02083335,68327.5208333323,257822.666666669,4591125.52083334,5215986.02083335,68327.5208333323,32227.8333333337,142.458398408207,161.847244488458,2.12014007043595,NA,2.23359536853132e-06,1.37193894605945e-06,0.183468049734767,NA
Ler_x_Col,Ler_x_drm1,AT1G05280.1,"1",1,1,1,8,1082701.6875,29379746.0208333,1038702.52083333,1122678.50000001,1082701.6875,29379746.0208333,1038702.52083333,140334.812500001,7.71513260474833,209.354653328326,7.40160265531638,NA,0.0240128590085088,5.09375886541557e-07,0.02622482387618,NA
