"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Ler_x_Col,Ler_x_mea9,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G02790.1,"1",1,1,1,8,568545.333333334,1251948,370305.333333333,1158228.5,568545.333333334,1251948,370305.333333333,144778.5625,3.92699943635187,8.64732995259571,2.55773594473514,NA,0.0828348770113509,0.0186914986595294,0.148423090929157,NA
Ler_x_Col,Ler_x_mea9,AT1G02940.1,"1",1,1,1,8,945566.020833333,509026.020833332,94963.0208333338,903044.166666666,945566.020833333,509026.020833332,94963.0208333338,112880.520833333,8.37669789129915,4.50942303486448,0.84127022210985,NA,0.0200678121283519,0.0664579595463505,0.385849714531084,NA
Ler_x_Col,Ler_x_mea9,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G04445.1,"1",1,1,1,8,24.0833333333307,5547.00000000004,51876.7499999999,631364.666666668,24.0833333333307,5547.00000000004,51876.7499999999,78920.5833333335,0.000305159089253192,0.0702858464257849,0.657328516958501,NA,0.986490434698377,0.79762423255013,0.440954993800667,NA
Ler_x_Col,Ler_x_mea9,AT1G04540.1,"1",1,1,1,8,216679.6875,5103204.1875,13838.0208333332,860207.333333335,216679.6875,5103204.1875,13838.0208333332,107525.916666667,2.01513917962413,47.4602248992684,0.128694748785369,NA,0.193506945852072,0.000125901396325074,0.729072337399835,NA
Ler_x_Col,Ler_x_mea9,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G05160.1,"1",1,1,1,8,128443.520833334,6389691.02083334,255354.187499999,1530572,128443.520833334,6389691.02083334,255354.187499999,191321.5,0.671349120895109,33.3976632047801,1.33468631335213,NA,0.436309300902831,0.000414957248912668,0.281310621036599,NA
Ler_x_Col,Ler_x_mea9,AT1G05280.1,"1",1,1,1,8,137067.1875,22881789.1875,146191.687499999,1331969.16666667,137067.1875,22881789.1875,146191.687499999,166496.145833334,0.823245407958014,137.431344569412,0.878048478349403,NA,0.390744220693614,2.56078346999597e-06,0.376158540957917,NA
Ler_x_Col,Ler_x_mea9,AT1G05570.1,"1",1,1,1,8,73790.0833333333,74152408.3333333,51090.7499999995,1828527.5,73790.0833333333,74152408.3333333,51090.7499999995,228565.9375,0.322839370294768,324.42458025196,0.223527401146549,NA,0.585496727349509,9.26124780081865e-08,0.648995411756474,NA
Ler_x_Col,Ler_x_mea9,AT1G05820.1,"1",1,1,1,8,3816.33333333334,684974.083333334,9746.99999999997,34678.3333333334,3816.33333333334,684974.083333334,9746.99999999997,4334.79166666668,0.88039602057,158.017763252751,2.24855096842408,NA,0.375552983849396,1.50365184410348e-06,0.172125814300061,NA
Ler_x_Col,Ler_x_mea9,AT1G06470.1,"1",1,1,1,8,637102.083333333,11820675,581240.083333332,987383.500000002,637102.083333333,11820675,581240.083333332,123422.9375,5.16194231184404,95.7737292551474,4.70933600436573,NA,0.0527263467742915,9.97057306334586e-06,0.0618088461762266,NA
Ler_x_Col,Ler_x_mea9,AT1G06660.1,"1",1,1,1,8,368.52083333333,4582.52083333334,638.020833333337,21251.5,368.52083333333,4582.52083333334,638.020833333337,2656.4375,0.138727462375204,1.72506254460469,0.240179124610813,NA,0.719223204143605,0.225458871588428,0.637233578677709,NA
Ler_x_Col,Ler_x_mea9,AT1G07135.1,"1",1,1,1,8,13601.3333333333,1542267,588.000000000012,169355.333333333,13601.3333333333,1542267,588.000000000012,21169.4166666667,0.64249920285947,72.8535426499706,0.0277759188766819,NA,0.445960289334355,2.73135443628415e-05,0.871772099420073,NA
Ler_x_Col,Ler_x_mea9,AT1G07230.1,"1",1,1,1,8,24558824.0833334,847946844.083333,22927380.7499999,44602687.5000001,24558824.0833334,847946844.083333,22927380.7499999,5575335.93750001,4.40490480908054,152.088924073614,4.11228686612212,NA,0.0690677728797729,1.74037933986345e-06,0.0771107233836588,NA
Ler_x_Col,Ler_x_mea9,AT1G07690.1,"1",1,1,1,8,3434.08333333333,10980.75,2.08333333333316,10558.3333333333,3434.08333333333,10980.75,2.08333333333316,1319.79166666667,2.60198895027624,8.32006314127861,0.00157853196527216,NA,0.145394224747196,0.0203718526563728,0.969281412564075,NA
Ler_x_Col,Ler_x_mea9,AT1G07705.1,"1",1,1,1,8,331004.083333332,13685352.0833333,121806.749999999,764700.833333334,331004.083333332,13685352.0833333,121806.749999999,95587.6041666668,3.46283481230676,143.170782473756,1.27429441361054,NA,0.0997972666428065,2.19155920674823e-06,0.291673777240753,NA
Ler_x_Col,Ler_x_mea9,AT1G07795.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G08030.1,"1",1,1,1,8,1499547,45786133.3333333,850136.33333333,2182418.5,1499547,45786133.3333333,850136.33333333,272802.3125,5.4968265710724,167.836309427668,3.11630911608687,NA,0.0470814798925755,1.1935605039796e-06,0.115509262165802,NA
Ler_x_Col,Ler_x_mea9,AT1G08050.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G08065.1,"1",1,1,1,8,2214.08333333333,2133.33333333333,2002.08333333333,21107.6666666667,2214.08333333333,2133.33333333333,2002.08333333333,2638.45833333333,0.839157967878968,0.808552974432668,0.758808016044722,NA,0.386418235984958,0.394807360974086,0.409080238239497,NA
Ler_x_Col,Ler_x_mea9,AT1G08270.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G08810.1,"1",1,1,1,8,1825.33333333328,35133674.0833334,3887.9999999998,507536,1825.33333333328,35133674.0833334,3887.9999999998,63442,0.0287716864747845,553.792031829598,0.0612843226884368,NA,0.869518061067925,1.13084891773729e-08,0.810712675323458,NA
Ler_x_Col,Ler_x_mea9,AT1G08830.1,"1",1,1,1,8,27612434.0833333,1095824744.08333,26116350.75,52845971.5,27612434.0833333,1095824744.08333,26116350.75,6605746.4375,4.18006266885767,165.889616631736,3.95358056763134,NA,0.0751447573266302,1.24817691291692e-06,0.0819807459732421,NA
Ler_x_Col,Ler_x_mea9,AT1G09360.1,"1",1,1,1,8,158585.020833333,24706.6875,4700.52083333333,68319.8333333334,158585.020833333,24706.6875,4700.52083333333,8539.97916666667,18.5697198714868,2.89306180001415,0.5504136183002,NA,0.00258323856955059,0.127379173304206,0.479360807136714,NA
Ler_x_Col,Ler_x_mea9,AT1G09380.1,"1",1,1,1,8,74892,429030.083333334,68705.3333333332,195293.333333333,74892,429030.083333334,68705.3333333332,24411.6666666667,3.06787738103366,17.5747968867345,2.81444664436403,NA,0.117956850553915,0.00302850692772166,0.131939711855108,NA
Ler_x_Col,Ler_x_mea9,AT1G09550.1,"1",1,1,1,8,901734.187500001,311213.020833334,61275.5208333336,454204.333333335,901734.187500001,311213.020833334,61275.5208333336,56775.5416666668,15.8824409425126,5.48146282179899,1.07925911465691,NA,0.00403183242764295,0.0473230782473626,0.329240374731238,NA
Ler_x_Col,Ler_x_mea9,AT1G09880.1,"1",1,1,1,8,203841.333333334,175692.000000001,886720.333333332,2613780,203841.333333334,175692.000000001,886720.333333332,326722.500000001,0.623897446099776,0.537740743291327,2.71398612992166,NA,0.452376938793789,0.48430210278415,0.138086539922209,NA
Ler_x_Col,Ler_x_mea9,AT1G10010.1,"1",1,1,1,8,132300,1.33333333333292,69312.0000000001,2450754.83333334,132300,1.33333333333292,69312.0000000001,306344.354166667,0.431866943851108,4.35240054271581e-06,0.226255189812608,NA,0.529522862125067,0.99838650679166,0.647031965426782,NA
Ler_x_Col,Ler_x_mea9,AT1G10190.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G10370.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G10417.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G11420.1,"1",1,1,1,8,27075,540600.75,8856.33333333331,38351.1666666667,27075,540600.75,8856.33333333331,4793.89583333334,5.64780732441864,112.768564189703,1.84741880951035,NA,0.0447888779297756,5.4106204751493e-06,0.211157878240169,NA
Ler_x_Col,Ler_x_mea9,AT1G11580.1,"1",1,1,1,8,41831.0208333334,520195256.020834,72463.0208333312,13482325.6666667,41831.0208333334,520195256.020834,72463.0208333312,1685290.70833334,0.024821249311166,308.667966570158,0.042997341927431,NA,0.878717172061279,1.12522134793522e-07,0.840911259828868,NA
Ler_x_Col,Ler_x_mea9,AT1G11590.1,"1",1,1,1,8,13035.0208333334,23236658.5208333,1.02083333333606,600248.166666665,13035.0208333334,23236658.5208333,1.02083333333606,75031.0208333331,0.173728421772219,309.694020723096,1.3605483731904e-05,NA,0.687778484337902,1.11071809524466e-07,0.997147281267168,NA
Ler_x_Col,Ler_x_mea9,AT1G11593.1,"1",1,1,1,8,7416696.33333334,67289088,7876440.33333333,1859819.83333333,7416696.33333334,67289088,7876440.33333333,232477.479166667,31.9028594077975,289.443468852135,33.8804445125912,NA,0.000482395308367179,1.44652795729414e-07,0.000395729462424258,NA
Ler_x_Col,Ler_x_mea9,AT1G11810.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G11905.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G12180.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G13608.1,"1",1,1,1,8,374.083333333333,4920.75,374.083333333334,645.333333333333,374.083333333333,4920.75,374.083333333334,80.6666666666667,4.63739669421487,61.0010330578512,4.63739669421488,NA,0.0634323008972341,5.18802908501307e-05,0.0634323008972338,NA
Ler_x_Col,Ler_x_mea9,AT1G13609.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G13900.1,"1",1,1,1,8,1062967.6875,287478457.520833,1337002.52083333,9735038.50000001,1062967.6875,287478457.520833,1337002.52083333,1216879.8125,0.873519041552842,236.242276819621,1.0987136996599,NA,0.377331260764377,3.18937398003948e-07,0.325180817108296,NA
Ler_x_Col,Ler_x_mea9,AT1G14210.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G14230.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G14580.1,"1",1,1,1,8,437199.1875,3391501.6875,382525.520833333,467877.666666667,437199.1875,3391501.6875,382525.520833333,58484.7083333333,7.47544443597437,57.9895460565547,6.54060748073036,NA,0.0256814155190186,6.21651312937522e-05,0.0337801551499536,NA
Ler_x_Col,Ler_x_mea9,AT1G15757.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_mea9,AT1G15760.1,"1",1,1,1,8,374.083333333331,538056.75,44.0833333333345,74222.0000000001,374.083333333331,538056.75,44.0833333333345,9277.75000000001,0.0403204800014368,57.9943143542345,0.00475151123206967,NA,0.84586636024852,6.21469238551443e-05,0.946736188795749,NA
Ler_x_Col,Ler_x_mea9,AT1G15770.1,"1",1,1,1,8,910.020833333334,5830.02083333334,1092.52083333333,1662,910.020833333334,5830.02083333334,1092.52083333333,207.75,4.38036502206177,28.0626754913758,5.25882470918571,NA,0.0696995339759826,0.00073065975777474,0.0510084047054529,NA
Ler_x_Col,Ler_x_mea9,AT1G16290.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
