"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Ler_x_Col,Ler_x_nrpE1,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G02790.1,"1",1,1,1,8,4840.08333333337,2303004.08333333,44044.0833333333,1426421.16666667,4840.08333333337,2303004.08333333,44044.0833333333,178302.645833333,0.0271453253579736,12.9162642122879,0.247018675059388,NA,0.873221130865247,0.00704423680458661,0.632551324581854,NA
Ler_x_Col,Ler_x_nrpE1,AT1G02940.1,"1",1,1,1,8,788225.020833333,451050.187499999,70917.1875000002,470881.166666666,788225.020833333,451050.187499999,70917.1875000002,58860.1458333333,13.3914894309852,7.66308307793154,1.20484219833242,NA,0.00640640585385398,0.0243632654544526,0.304292010436861,NA
Ler_x_Col,Ler_x_nrpE1,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G04445.1,"1",1,1,1,8,100558.520833334,24345.0208333334,95676.0208333333,418683.666666667,100558.520833334,24345.0208333334,95676.0208333333,52335.4583333334,1.92142237854992,0.465172592514158,1.82812998835238,NA,0.203109075842534,0.514474196742669,0.213327612910445,NA
Ler_x_Col,Ler_x_nrpE1,AT1G04540.1,"1",1,1,1,8,118008.333333334,6894768,234640.333333333,480597.333333335,118008.333333334,6894768,234640.333333333,60074.6666666668,1.96436101740057,114.769975142045,3.90581165660509,NA,0.198630730769905,5.06401862069701e-06,0.0835239551853693,NA
Ler_x_Col,Ler_x_nrpE1,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G05160.1,"1",1,1,1,8,930190.083333335,5476954.08333334,101016.749999999,302246.500000001,930190.083333335,5476954.08333334,101016.749999999,37780.8125000002,24.6207008738452,144.966551032573,2.67375800877757,NA,0.00110422683434364,2.08990125917545e-06,0.140654130592108,NA
Ler_x_Col,Ler_x_nrpE1,AT1G05280.1,"1",1,1,1,8,9520.33333333339,20316416.3333333,11285.3333333332,849936.66666667,9520.33333333339,20316416.3333333,11285.3333333332,106242.083333334,0.0896098140645775,191.227578525458,0.10622281660202,NA,0.772303308700684,7.2263298808713e-07,0.752847877874565,NA
Ler_x_Col,Ler_x_nrpE1,AT1G05570.1,"1",1,1,1,8,2296.33333333328,68693460.0833334,9408.00000000037,171626.000000002,2296.33333333328,68693460.0833334,9408.00000000037,21453.2500000002,0.107038949032583,3202.00715897744,0.438534953911425,NA,0.751937301842341,1.05591125385224e-11,0.526443190959045,NA
Ler_x_Col,Ler_x_nrpE1,AT1G05820.1,"1",1,1,1,8,19120.0833333333,754005.333333334,19440.7499999999,17020.0000000001,19120.0833333333,754005.333333334,19440.7499999999,2127.50000000001,8.98711320015665,354.409087348217,9.13783783783778,NA,0.0171276800007452,6.55077812828275e-08,0.0164869127297386,NA
Ler_x_Col,Ler_x_nrpE1,AT1G06470.1,"1",1,1,1,8,568327.687500001,11486611.6875,509026.020833333,127066.666666667,568327.687500001,11486611.6875,509026.020833333,15883.3333333334,35.7813864113325,723.186465110175,32.0478082371457,NA,0.000330042926421871,3.93563678328992e-09,0.000475282710710343,NA
Ler_x_Col,Ler_x_nrpE1,AT1G06660.1,"1",1,1,1,8,111.020833333334,4088.52083333334,841.687500000004,18099.5,111.020833333334,4088.52083333334,841.687500000004,2262.4375,0.0490713371455938,1.80713095205208,0.372026851570486,NA,0.830236992603994,0.215724791482832,0.558824159184288,NA
Ler_x_Col,Ler_x_nrpE1,AT1G07135.1,"1",1,1,1,8,28812.0000000001,1271403,19200.0000000001,43817.6666666669,28812.0000000001,1271403,19200.0000000001,5477.20833333336,5.26034400127801,232.126098301293,3.50543540276752,NA,0.0509820378103676,3.41453608430093e-07,0.0980626012883156,NA
Ler_x_Col,Ler_x_nrpE1,AT1G07230.1,"1",1,1,1,8,19927941.3333334,821475816.333333,18750000,23540824.0000001,19927941.3333334,821475816.333333,18750000,2942603.00000001,6.7722153934232,279.16637627751,6.37190949645599,NA,0.0315026468726867,1.66564109928235e-07,0.0355717547913126,NA
Ler_x_Col,Ler_x_nrpE1,AT1G07690.1,"1",1,1,1,8,385.333333333332,9296.33333333334,48.0000000000006,8558.33333333334,385.333333333332,9296.33333333334,48.0000000000006,1069.79166666667,0.360194741966893,8.68985394352483,0.0448685491723471,NA,0.56500711967059,0.0184861949041301,0.837542871052027,NA
Ler_x_Col,Ler_x_nrpE1,AT1G07705.1,"1",1,1,1,8,115150.020833333,12709179.1875,46066.020833333,345981.333333334,115150.020833333,12709179.1875,46066.020833333,43247.6666666667,2.66257187285634,293.869708288693,1.06516777398394,NA,0.141379316090111,1.36331539772431e-07,0.332228405902882,NA
Ler_x_Col,Ler_x_nrpE1,AT1G07795.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08030.1,"1",1,1,1,8,1725966.75,42846302.0833334,491670.083333331,547305.000000003,1725966.75,42846302.0833334,491670.083333331,68413.1250000004,25.2285910050153,626.287749365829,7.18678007083185,NA,0.00102329096890165,6.9546549757108e-09,0.0278906660643994,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08050.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08065.1,"1",1,1,1,8,3234.08333333332,13872,720.750000000004,28627.3333333333,3234.08333333332,13872,720.750000000004,3578.41666666666,0.903774947020327,3.87657483523905,0.201415896229712,NA,0.369604571862496,0.0844870239113566,0.665487914271764,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08270.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08810.1,"1",1,1,1,8,27313.0208333334,36545535.1875,32500.0208333329,154908.5,27313.0208333334,36545535.1875,32500.0208333329,19363.5625,1.41053697290121,1887.33530761708,1.67841123415864,NA,0.269030632890218,8.69377453025423e-11,0.231265235208625,NA
Ler_x_Col,Ler_x_nrpE1,AT1G08830.1,"1",1,1,1,8,21942960.75,1041435640.08333,18305170.0833333,7856262.33333336,21942960.75,1041435640.08333,18305170.0833333,982032.79166667,22.3444277382624,1060.48967908276,18.64008028924,NA,0.00148869030275732,8.61869504203372e-10,0.00255495921137905,NA
Ler_x_Col,Ler_x_nrpE1,AT1G09360.1,"1",1,1,1,8,552123,65416.3333333333,901.33333333334,40654.0000000001,552123,65416.3333333333,901.33333333334,5081.75000000001,108.648201898952,12.8727964447943,0.177366720781884,NA,6.22274111405054e-06,0.00710648094711804,0.68473297570752,NA
Ler_x_Col,Ler_x_nrpE1,AT1G09380.1,"1",1,1,1,8,13433.5208333333,151088.520833333,17.520833333335,37724.6666666667,13433.5208333333,151088.520833333,17.520833333335,4715.58333333334,2.84875059642673,32.0402610140138,0.00371551769841164,NA,0.129923670572829,0.00047564979973587,0.952890303495845,NA
Ler_x_Col,Ler_x_nrpE1,AT1G09550.1,"1",1,1,1,8,928520.333333335,404801.333333334,28616.3333333336,256895.666666668,928520.333333335,404801.333333334,28616.3333333336,32111.9583333335,28.9150952332139,12.6059373000971,0.891142577985619,NA,0.000663796951567336,0.00750413784007469,0.372800256089613,NA
Ler_x_Col,Ler_x_nrpE1,AT1G09880.1,"1",1,1,1,8,103695.020833334,74025.5208333338,631354.687499999,1643361,103695.020833334,74025.5208333338,631354.687499999,205420.125,0.504794848281462,0.360361580119444,3.07348020307162,NA,0.497587077959055,0.564918961788536,0.117670245557879,NA
Ler_x_Col,Ler_x_nrpE1,AT1G10010.1,"1",1,1,1,8,136960.333333334,103045.333333334,3467.99999999994,1268251.33333334,136960.333333334,103045.333333334,3467.99999999994,158531.416666667,0.863931807417773,0.649999448058929,0.0218757901299265,NA,0.379832514713622,0.443416790678143,0.886077904472193,NA
Ler_x_Col,Ler_x_nrpE1,AT1G10190.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G10370.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G10417.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11420.1,"1",1,1,1,8,35916.0208333333,535730.020833333,8242.52083333331,11601.1666666667,35916.0208333333,535730.020833333,8242.52083333331,1450.14583333334,24.7671785883603,369.431824385478,5.6839254672662,NA,0.00108401231826659,5.56646711237483e-08,0.0442616383016213,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11580.1,"1",1,1,1,8,24975445.3333334,758430000,25010081.3333333,10405012.5000001,24975445.3333334,758430000,25010081.3333333,1300626.56250001,19.2026259138724,583.126642087164,19.229256155787,NA,0.00234225218264938,9.22275189932228e-09,0.0023327435567049,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11590.1,"1",1,1,1,8,191395.020833334,19325601.0208334,180933.520833335,537253.999999999,191395.020833334,19325601.0208334,180933.520833335,67156.7499999999,2.8499744379133,287.768556709987,2.69419709609734,NA,0.129852498379449,1.47966585753715e-07,0.139341763490597,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11593.1,"1",1,1,1,8,4003807.6875,65957818.5208334,7425346.68749999,859264.333333331,4003807.6875,65957818.5208334,7425346.68749999,107408.041666666,37.2766100691561,614.086408218195,69.1321298878537,NA,0.000287735965400102,7.51729298381604e-09,3.30476608536808e-05,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11810.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G11905.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G12180.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G13608.1,"1",1,1,1,8,560.333333333333,5547,560.333333333333,669.333333333333,560.333333333333,5547,560.333333333333,83.6666666666667,6.69721115537848,66.2988047808765,6.69721115537849,NA,0.0322182703254286,3.84511992945849e-05,0.0322182703254286,NA
Ler_x_Col,Ler_x_nrpE1,AT1G13609.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G13900.1,"1",1,1,1,8,3941094.08333333,318228801.333333,4161874.08333332,1259802.00000001,3941094.08333333,318228801.333333,4161874.08333332,157475.250000002,25.0267523520889,2020.81788302181,26.4287504438525,NA,0.0010493146426177,6.6211269835455e-11,0.00088416408363499,NA
Ler_x_Col,Ler_x_nrpE1,AT1G14210.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G14230.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G14580.1,"1",1,1,1,8,521250.083333334,3714081.33333333,495726.75,90046.0000000001,521250.083333334,3714081.33333333,495726.75,11255.75,46.3096713531602,329.971910653073,44.0420895986495,NA,0.000137105454458656,8.66661595597526e-08,0.000163088772135124,NA
Ler_x_Col,Ler_x_nrpE1,AT1G15757.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G15760.1,"1",1,1,1,8,100010.020833333,1108688.02083333,97831.0208333332,46361.1666666667,100010.020833333,1108688.02083333,97831.0208333332,5795.14583333334,17.2575503204909,191.313221913455,16.8815459777759,NA,0.0031904251072135,7.21386593648688e-07,0.00339664702632862,NA
Ler_x_Col,Ler_x_nrpE1,AT1G15770.1,"1",1,1,1,8,526.6875,4780.02083333333,667.520833333333,2586,526.6875,4780.02083333333,667.520833333333,323.250000000001,1.62935034802784,14.7873807682392,2.06502964681619,NA,0.237598656747829,0.00490918951618287,0.188646429050072,NA
Ler_x_Col,Ler_x_nrpE1,AT1G16290.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G16400.1,"1",1,1,1,8,1220.08333333333,1828321.33333333,1180.08333333332,271836.166666667,1220.08333333333,1828321.33333333,1180.08333333332,33979.5208333333,0.0359064313860615,53.806566087294,0.0347292517490617,NA,0.85442825629012,8.10783766374806e-05,0.856803047285336,NA
Ler_x_Col,Ler_x_nrpE1,AT1G16410.1,"1",1,1,1,8,8965.33333333335,148518.75,2760.33333333334,48410.5,8965.33333333335,148518.75,2760.33333333334,6051.3125,1.48155186719135,24.5432292581155,0.456154484392162,NA,0.258216297414554,0.00111510906368811,0.518468021745662,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17250.1,"1",1,1,1,8,10443,4499425.33333334,2882.99999999996,36103.1666666668,10443,4499425.33333334,2882.99999999996,4512.89583333335,2.3140352415993,997.015109477929,0.638835928519648,NA,0.166703884495267,1.10132415880248e-09,0.447211611031676,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17310.1,"1",1,1,1,8,6.75,0.749999999999997,14.0833333333333,123.333333333333,6.75,0.749999999999997,14.0833333333333,15.4166666666667,0.437837837837838,0.0486486486486484,0.913513513513512,NA,0.526763546837906,0.830956471597636,0.36716997594527,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17430.1,"1",1,1,1,8,1862044.08333334,324864914.083333,1808856.75,447004.000000005,1862044.08333334,324864914.083333,1808856.75,55875.5000000007,33.3248755417547,5814.08513719483,32.3729854766396,NA,0.000417956714656185,9.7530995346397e-13,0.00045979758199447,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17770.1,"1",1,1,1,8,203060.083333332,69100801.3333333,100650.083333334,1163459.66666667,203060.083333332,69100801.3333333,100650.083333334,145432.458333333,1.3962500920387,475.140158704828,0.692074413695479,NA,0.271284086639616,2.06929492497059e-08,0.429590756884434,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17820.1,"1",1,1,1,8,4332008.33333333,333559440.75,2984021.33333332,3921232.00000003,4332008.33333333,333559440.75,2984021.33333332,490154.000000003,8.83805565869768,680.519674938893,6.087926107577,NA,0.0177925486081087,5.00704031469536e-09,0.0388693679204657,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17840.1,"1",1,1,1,8,1035017576.33333,116404543083,999151000.333328,1293581153.00001,1035017576.33333,116404543083,999151000.333328,161697644.125001,6.40094407023769,719.890161126978,6.17913146317041,NA,0.0352549592044098,4.00749396957027e-09,0.0377694889930093,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17860.1,"1",1,1,1,8,94696.3333333334,21789075,85683.0000000006,306120.833333333,94696.3333333334,21789075,85683.0000000006,38265.1041666667,2.47474390559284,569.424165294206,2.2391942179695,NA,0.154333670857928,1.01311626162795e-08,0.172919806299112,NA
Ler_x_Col,Ler_x_nrpE1,AT1G17950.1,"1",1,1,1,8,191395.020833333,1145463.02083333,191900.520833333,120099.666666667,191395.020833333,1145463.02083333,191900.520833333,15012.4583333333,12.7490792369671,76.300829311211,12.7827512704726,NA,0.00728745945210271,2.30717574992095e-05,0.00723763492874941,NA
