"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Ler_x_Col,Ler_x_rdr6,AT1G01530.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_rdr6,AT1G02580.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_rdr6,AT1G02790.1,"1",1,1,1,8,141484.083333334,1476306.75,262552.083333333,1173556.5,141484.083333334,1476306.75,262552.083333333,146694.5625,0.964480761400639,10.0638137149767,1.78978742537463,NA,0.35482423294855,0.0131480056664896,0.217732770369349,NA
Ler_x_Col,Ler_x_rdr6,AT1G02940.1,"1",1,1,1,8,263885.020833334,88666.0208333331,11563.0208333333,451328.166666666,263885.020833334,88666.0208333331,11563.0208333333,56416.0208333333,4.67748375258359,1.5716461303656,0.204959879525946,NA,0.0625210042082292,0.245362691437355,0.662772077691849,NA
Ler_x_Col,Ler_x_rdr6,AT1G03445.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_rdr6,AT1G04020.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_rdr6,AT1G04445.1,"1",1,1,1,8,212534.083333333,11656.3333333333,68252.0833333333,390365.000000001,212534.083333333,11656.3333333333,68252.0833333333,48795.6250000001,4.35559711210448,0.238880705664357,1.39873366379328,NA,0.070344720822404,0.638131943008964,0.270890422027311,NA
Ler_x_Col,Ler_x_rdr6,AT1G04540.1,"1",1,1,1,8,6347.99999999999,6468008.33333333,161472,589315.833333335,6347.99999999999,6468008.33333333,161472,73664.4791666668,0.0861745046162284,87.8036253904596,2.19199269209068,NA,0.77656941719388,1.37637888461128e-05,0.177001369707773,NA
Ler_x_Col,Ler_x_rdr6,AT1G04635.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_rdr6,AT1G05160.1,"1",1,1,1,8,1312085.33333333,4322400.33333334,3201.33333333315,1094499.16666667,1312085.33333333,4322400.33333334,3201.33333333315,136812.395833334,9.59039804354957,31.5936308768318,0.0233994391650962,NA,0.014736170529578,0.000498019640230864,0.882210826766102,NA
Ler_x_Col,Ler_x_rdr6,AT1G05280.1,"1",1,1,1,8,430165.333333333,14113683,415152.000000001,802612.333333337,430165.333333333,14113683,415152.000000001,100326.541666667,4.28765236185006,140.677459479192,4.13800768075246,NA,0.0721545122485219,2.34317990813731e-06,0.076356925308627,NA
Ler_x_Col,Ler_x_rdr6,AT1G05570.1,"1",1,1,1,8,46812.5208333331,72739790.0208334,20625.5208333326,1050584,46812.5208333331,72739790.0208334,20625.5208333326,131323,0.356468560978146,553.899850146838,0.157059470415179,NA,0.566983466266664,1.12997996034888e-08,0.702239072624743,NA
Ler_x_Col,Ler_x_rdr6,AT1G05820.1,"1",1,1,1,8,487.687499999994,630896.020833334,4275.18749999998,22256.3333333335,487.687499999994,630896.020833334,4275.18749999998,2782.04166666668,0.175298416930009,226.774468690559,1.53670865221883,NA,0.686459667241005,3.73784698109329e-07,0.250237627940617,NA
Ler_x_Col,Ler_x_rdr6,AT1G06470.1,"1",1,1,1,8,12805.3333333333,6835770.75,3745.33333333338,353905.000000001,12805.3333333333,6835770.75,3745.33333333338,44238.1250000001,0.289463744978642,154.522162727285,0.0846630216206805,NA,0.605204804864913,1.63795886082792e-06,0.778475965634807,NA
Ler_x_Col,Ler_x_rdr6,AT1G06660.1,"1",1,1,1,8,3657.52083333334,14042.5208333334,652.687499999996,14761.3333333334,3657.52083333334,14042.5208333334,652.687499999996,1845.16666666667,1.98221705356336,7.61043492006142,0.353728208833887,NA,0.196808099735332,0.0247243042916224,0.568446077974529,NA
Ler_x_Col,Ler_x_rdr6,AT1G07135.1,"1",1,1,1,8,6.02083333333288,1756057.52083333,3485.0208333333,311906.666666667,6.02083333333288,1756057.52083333,3485.0208333333,38988.3333333334,0.000154426537853192,45.0405895994528,0.0893862480229118,NA,0.990389378779824,0.000150949501987034,0.772578180458838,NA
Ler_x_Col,Ler_x_rdr6,AT1G07230.1,"1",1,1,1,8,3165214.08333333,688431156.75,3635502.08333331,12335363.5000001,3165214.08333333,688431156.75,3635502.08333331,1541920.43750001,2.05277393460408,446.476445870441,2.3577754045648,NA,0.18982491099463,2.6439516942197e-08,0.163209411621123,NA
Ler_x_Col,Ler_x_rdr6,AT1G07690.1,"1",1,1,1,8,2080.33333333333,10208.3333333333,5.33333333333358,8893.50000000001,2080.33333333333,10208.3333333333,5.33333333333358,1111.6875,1.87132924795262,9.18273645546373,0.004797511291018,NA,0.208510185709665,0.0163019005166911,0.946479443648622,NA
Ler_x_Col,Ler_x_rdr6,AT1G07705.1,"1",1,1,1,8,24979.6875000001,10268425.0208333,21294.1875000002,123083.333333334,24979.6875000001,10268425.0208333,21294.1875000002,15385.4166666668,1.62359512525389,667.41286526743,1.38405010155721,NA,0.238357435092901,5.40765226722554e-09,0.273229818472222,NA
Ler_x_Col,Ler_x_rdr6,AT1G07795.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_rdr6,AT1G08030.1,"1",1,1,1,8,46190.0208333333,39699675.1875,208165.020833332,515817.833333336,46190.0208333333,39699675.1875,208165.020833332,64477.229166667,0.716377261093786,615.716210212453,3.22850444294445,NA,0.421929129583774,7.43892705603895e-09,0.110089389494042,NA
Ler_x_Col,Ler_x_rdr6,AT1G08050.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_rdr6,AT1G08065.1,"1",1,1,1,8,8.33333333333382,8480.08333333332,1.33333333333347,9640.66666666666,8.33333333333382,8480.08333333332,1.33333333333347,1205.08333333333,0.00691515109605186,7.03692690685291,0.00110642417536834,NA,0.935769509193258,0.0291325751560284,0.974279831388869,NA
Ler_x_Col,Ler_x_rdr6,AT1G08270.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
